artist;title;lyrics
ABBA;abba undeleted; b  andersson  b  ulv us Scaramouche instrumental Varf r ska det vara s  seri st f r  alltid N  I england sl r det s ckert N  det k nner jag ocks Hello everybody this is bj rn Agnetha This is benny r det s  sv rt att snacka Det  r sv rt det d r med meddelanden Summer night city Money  money  money Hmm  hmm  do do do do do Summer night city Money  money  money Hmm hmm hmm hmm Summer night city Money  money  money In the rich man s world Den g r p  band Kan det va  n t Det tror do va Take a chance on me instrumental Nu g  den l ngsammare  n f rut Nej  1 2 3 4 Det  r bra s 1 2  g r bandet H r  r det magnetband som rullar och rullar Upptakten kan do fixa p  n t annat va  n t j ttemalle 1 2 Do kan dra ner pianot tror jag f r det  r v ldigt vasst I  ronen Vasst Vasst V ldigt miserabel lyssning Nu h r jag bara frida I mina lurar Och jag h r bara dej Det  r inget  det var inget  b ttre lyssning H rru h r do mej nu ra     Ja  det  r s  ner t tror jag Ja ja H r do mig   H r do mig Det  r inte bra allts Men det  r upp till dig Det m ste v l do f rst  vad som  r fel Tuuuure  jag sjunker N  just det Sjunker  you   Jaaaa Baby Baby  you can do magic Baby  isn t it tragic Maybe you can do something I can t And I can t get enough of it Baby  you can do wonders Maybe you can do something I can t So don t stop doing it Don t stop doing it Baby  you can do wonders  Just a notion Just a notion   that s all Just a feeling that you re watching me Aah  every move I m making Am I reading your mind cause it s almost like your touching me Aah  there is no mistaking Just a notion That you ll be walking up to me in a while And you smile and say   hello  and We ll be dancing through the night Knowing everything from there on must be right Just a notion But somehow I know I m not wrong If it s our destiny There s nothing we can do And tonight is very special It s the night for me and you r det bra Det tycker jag vi kan ha va Det  r lite ovanligt s  d r ocks Ja  det  r det va  I alla fall nuf rtiden Javisst Alla 60 miljoner skivor ska brytas Rikky rock  n  roller Rikky rock n  roller Now that you re the headline Dumb dumb dumb dumb dumb ee doo aa Rikky rock n  roller Don t it make you feel fine Dumb dumb dumb dumb dumb ee doo aa Is it true To hear the fans scream To stand in the lights Is just like a dream What a dream To be what you are A rock n  roll star To make such a lot of money Would be funny Oh  I wish I could be like you Rikky rock n  roller Today a new jet plane Tonight it s a new hotel You live in your own world You re under a magic spell Rikky rock n  roller Now that you re the headline Dumb dumb dumb dumb dumb ee doo aa Rikky rock n  roller Don t it make you feel fine Dumb dumb dumb dumb dumb ee doo aa Is it true  rock n  roller  to hear the fans scream To stand in the lights Is just like a dream  rikky rock n  roller What a dream  rock n  roller To be what you are A rock n  roll star To make such a lot of money Would be funny Oh  I wish I could be like you Rikky rock n  roller Dumb dumb dumb dumb dumb ee doo aa Oh  I wish I could be like you Rikky rock  n  roller Dumb dumb dumb dumb dumb ee doo aa Oh  I wish I could be like you Rikky rock n  roller Dumb dumb dumb dumb dumb ee doo aa En  tv  en  tv    tre Burning my bridges And you hoo and you holler and you make me mad And I ve always been under your heel Holy christ what a lousy deal Now I m sick and tired of your tedious ways And I ain t gonna take it no more Oh  no no  walking out that door Burning my bridges  cuttin  my tie Once again oughta look into the eye Being myself  having my pride No one  baby  is gonna take me for a ride Burning my bridges  moving at last Girl I m leaving and I m burying the past Wanna have peace now  we can be free No one here will make a sucker out of me Han har  sjunk t Vad s gs Kalle sk ndare kan h nda F rsta plus har do f rsta eller andra plus Fernando Varf r s rjer do  fernando Varf r klingar din gitarr I moll Vad  r det som st r p r det k rleken  fernando Har hon l mnet dej din stora  stora k rlek  r det s Den som  lskat och f rlorat Vet att s nt kan  nd  h nda d  och d L nge  l nge leve k rleken V r b sta v n  fernando Fyll ditt glas och h j en sk l f r den F r k rleken  fernando Spela  spela melodien och sjung S ngen om lyckan L nge  l nge leve k rleken Den k rleken  fernando Det d r funkar ju j ttebra Javisst det  r ganska ballt s  d r ocks Javisst  r det det Here comes rubie jamie Some people long for berlin and barcelona They yearn for paris  madrid and rome And I know some who prefer arizona And some prefer home There s only me who is dying to see  1 r ni med d 1 2 3 4 J vla ot ck situation Hamlet iii part 1 instrumental Hamlet iii part 2 When the autumn leaves are falling to the ground When the air gets cold Then I think of us  of you and I And it almost makes me cry So sad and kind of bitter sweet And the memories filled with tears And I fear my heart will break Guess it all was my mistake Autumn s chilling winds were blowing through the trees And rain fell softly on your face Oh I remember every little thing about that day I remember every place Grey skies  you were laughing at the clouds And rain fell softly on your face The memories of our time together cannot be replaced I never loved you more than on those happy autumn days Det r cker d r Ja Nu h r jag allts  v ldigt lite frida Free as a bumble bee I m down And I feel depressed Sitting here Just waiting For next bus traveling Down town It s a cry and a shame Isn t it A beautiful weather If I could have my way Well  I would not be working On a day like this I know what I like to be As free As a bumble bee Take a zip of Every flower Free As a bumble bee What a way Each lazy hour What a good life Lying laid back Like an old railroad bum by the track What a good life Living outdoors Lie in the grass and chew on a straw Rubber ball man A poster on the wall Of a dear friend I wish there was a way that I could show you How your songs set me free The hero of them all You re a legend I guess I never get a chance to know you Still you re close as can be Make the band stand To a dream land  rubber ball man Clapping your hands And your feet dance  rubber ball man When you re jumping up and down  nobody s standing still Some of us screaming Some of us dreaming Look at your fans How we love you  rubber ball man Look at your fans How we love you  rubber ball man Look at your fans How we love you  rubber ball man Crying over you I m waiting for you  baby I m sitting all alone I feel so cold without you It chills me to the bone I never thought you d leave me But now I know it s true Oh  lord I m blue I m crying over you I m waiting for you  baby I m sitting all alone I feel so cold without you It chills me to the bone I never thought you d leave me But now I know it s true Oh  lord I m blue I m crying over you Crying over you I m crying over you Crying over Little memories Of things we used to do Oh  lord I m blue I m crying over you Oh  lord I m blue I m crying over you Oh  lord I m blue I m crying over you H rligt 1 2 1 2 1 2 3 Just like that Just like that He walked into my house as smug as a cat He was handsome and smart Walked away with my heart Just like that He found a temporary home in my flat Telling innocent lies Throwing dust in my eyes But I lead him on Knowing that someday soon he d be gone Just like that As though he d only stopped a while for a chat But my secrets he learned Leaving no stone unturned Just like that He walked into my house as smug as a cat He was handsome and smart Walked away with my heart Just like that As though he d only stopped a while for a chat But my secrets he learned Leaving no stone unturned Just like that D  k r vi d G r bandet Givin  a little bit more There s a gentleness to everything you do And it s rubbing off on me  I feel it too I m a victim of my loneliness  I guess When you call me on the phone And I m feeling so alone When you ask me to come over  baby You know I will I could never stay on my own Givin  it all I got to give I ve never done that before I m always givin  a little more When I m with you Givin  it all I got to give I ve never done that before I m always givin  a little more When I m with you And I m always givin  a little more When I m with you Givin  it all I got to give I ve never done that before I m always givin  a little more When I m with you Givin  it all I got to give I ve never done that before I m always givin  a little more Thank you for the music instrumental Ok  den tar vi va 
ABBA;al andar;They say a restless body can hide a peaceful soul  A voyager  ad a settler  they both have a distant goal  If I explore the heavens  or if I search inside  Well  it really doesn t matter as long as I can tell myself  I ve always tried Like a roller in the ocean  life is motion Move on Like a wind that s always blowing  life is flowing Move on Like the sunrise in the morning  life is dawning Move on How I treasure every minute Being part of it  being in it With the urge to move on I ve travelled every country  I ve travelled in my mind It seems we re on a journey  a trip through space and time And somewhere lies the answer To all the questions why What really makes the difference Between all dead and living things  the will to stay alive Like a roller in the ocean          la la la la la la la Life is motion                      la la la la la la la Move on                             la la la la la Like a wind that s always blowing   la la la la la la la Life is flowing                     la la la la la la la Move on                             la la la la la Like the sunrise in the morning     la la la la la la la Life is dawning                     la la la la la la la Move on                             la la la la la How I treasure every minute         la la la la Being part of it                    la la la la Being in it                         la la la la With the urge to move on The morning breeze that ripples the surface of the sea The crying of the seagulls that hover over me I see it and I hear it But how can I explain The wonder of the moment To be alive  to feel the sun that follows every rain Like a roller in the ocean          la la la la la la la Life is motion                      la la la la la la la Move on                             la la la la la Like a wind that s always blowing   la la la la la la la Life is flowing                     la la la la la la la Move on                             la la la la la Like the sunrise in the morning     la la la la la la la Life is dawning                     la la la la la la la Move on                             la la la la la How I treasure every minute         la la la la Being part of it                    la la la la ah Being in it With the urge to move on La la la la la la la  la la la la la la la  la la la la la Like a wind that s always blowing La la la la la la la La la la la la la la                life is flowing La la la la la                      move on Like the sunrise in the morning La la la la la la la La la la la la la la                life is dawning La la la la la                      move on How I treasure every minute         la la la la Being part of it                    la la la la ah Being in it With the urge to move on La la la la la la la  la la la la la la la  la la la la la Like a wind that s always blowing 
ABBA;andante andante;Take it easy with me  please  Touch me gently like a summer evening breeze  Take your time  make it slow  Andante  Andante  Just let the feeling grow  Make your fingers soft and light  Let your body be the velvet of the night  Touch my soul  you know how  Andante  Andante  Go slowly with me now  I m your music  I am your music and I am your song   I m your song  I am your music and I am your song   Play me time and time again and make me strong  Play me again  cause you re making me strong   Make me sing  make me sound  You make me sing and you make me   Andante  Andante  Tread lightly on my ground  Andante  Andante  Oh please don t let me down  There s a shimmer in your eyes  Like the feeling of a thousand butterflies  Please don t talk  go on  play  Andante  Andante  And let me float away  I m your music  I am your music and I am your song   I m your song  I am your music and I am your song   Play me time and time again and make me strong  Play me again  cause you re making me strong   Make me sing  make me sound  You make me sing and you make me   Andante  Andante  Tread lightly on my ground  Andante  Andante  Oh please don t let me down  Make me sing  make me sound  You make me sing and you make me   Andante  Andante  Tread lightly on my ground  Andante  Andante  Oh please don t let me down  Andante  Andante  Oh please don t let me down
ABBA;angel eyes;Ah ha ha  ah aaaah Ah ha ha  ah aaaah Ah ha ha  keep thinking  bout his angel eyes I keep thinking  a aaah Last night I was taking a walk along the river And I saw him together with a young girl And the look that he gave made me shiver Cause he always used to look at me that way And I thought maybe I should walk right up to her and say Ah ha ha  it s a game he likes to play Look into his angel eyes One look and you re hypnotized He ll take your heart and you must pay the price Look into his angel eyes You ll think you re in paradise And one day you ll find out he wears a disguise Don t look too deep into those angel eyes Oh no no no no Ah ha ha  ah aaaah Ah ha ha  ah aaaah Ah ha ha  keep thinking  bout his angel eyes I keep thinking  a aaah Sometimes when I m lonely I sit and think about him And it hurts to remember all the good times When I thought I could never live without him And I wonder does it have to be the same Every time when I see him  will it bring back all the pain Ah ha ha  how can I forget that name Look into his angel eyes One look and you re hypnotized He ll take your heart and you must pay the price Look into his angel eyes You ll think you re in paradise And one day you ll find out he wears a disguise Don t look too deep into his angel eyes Crazy  bout his angel eyes Angel eyes He took my heart and now I pay the price Look into his angel eyes You ll think you re in paradise And one day you ll find out he wears a disguise Don t look too deep into those angel eyes Oh no no no no Ah ha ha  ah aaaah Ah ha ha  ah aaaah Ah ha ha  keep thinking  ah aaaah Keep thinking  bout his angel eyes Ah ha ha  keep thinking  ah aaaah Keep thinking  I had to pay the price repeat   fade 
ABBA;angeleyes;Keep thinking  bout his angeleyes I keep thinking Last night I was taking a walk along the river And I saw him together with a young girl And the look that he gave her made me shiver Cause he always used to look at me that way Then I thought maybe I should walk right up to her and say Ah ha ha  it s a game he likes to play Look into his angeleyes One look and you re hypnotized He ll take your heart and you must pay the price Look into his angeleyes You ll think you re in paradise And one day you ll find out he wears a disguise Don t look too deep into those angeleyes Oh no no no no Ah ha ha  keep thinking  bout his angeleyes I keep thinking Sometimes when I m lonely I sit and think about him And it hurts to remember all the good times When I thought I could never live without him And I wonder does it have to be the same Every time when I see him  will it bring back all the pain Ah ha ha  how can I forget that name Look into his angeleyes One look and you re hypnotized He ll take your heart and you must pay the price Look into his angeleyes You ll think you re in paradise And one day you ll find out he wears a disguise Don t look too deep into those angeleyes Crazy  bout his angeleyes Angeleyes He took my heart and now I pay the price Look into his angeleyes You ll think you re in paradise Then one day you ll find out he wears a disguise Don t look too deep into those angeleyes Oh no no no no Keep thinking Keep thinking  bout his angeleyes Keep thinking Keep thinking  I had to pay the price
ABBA;another town another train;Day is dawning and I must go You re asleep  but still I m sure you ll know Why it had to end this way You and I had a groovy time But I told you  somewhere down the line You would have to find me gone I just have to move along Just another town  another train Waiting in the morning rain Lord  just give my restless soul a little patience Just another town  another train Nothing lost and nothing gained Guess I will spend my life in railway stations Guess I will spend my life in railway stations When you wake  I know you ll cry And the words I wrote to say goodbye They won t comfort you at all But in time you will understand That the dreams we dreamt were made of sand For a no good bum like me To live is to be free Agnetha  Frida  Bjarn  just another town  another train Waiting in the morning rain Lord  just give my restless soul a little patience Just another town  another train Nothing lost and nothing gained Guess I will spend my life in railway stations Guess I will spend my life in railway stations Just another town  another train Waiting in the morning rain Lord  just give my restless soul a little patience Just another town  another train Nothing lost and nothing gained Guess I will spend my life in railway stations Guess I will spend my life in railway stations
ABBA;as good as new;I ll never know why I had to go Why I had to put up such a lousy rotten show Boy  I was tough  packing all my stuff Saying I don t need you anymore  I ve had enough And now  look at me standing here again  cause I found out that Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here Gotta have you near As good as new  my love for you And keeping it that way is my intention As good as new and growing too Yes  I think it s taking on a new dimension It s as good as new  my love for you Just like it used to be and even better As good as new  thank God it s true Darling  we were always meant to stay together Feel like a creep  never felt so cheap Never had a notion that my love could be so deep How could I make such a dumb mistake Now I know I m not entitled to another break But please  baby  I beg you to forgive  cause I found out that Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here Gotta get you near I thought that our love was at an end but here I am again As good as new  my love for you And keeping it that way is my intention As good as new and growing too Yes  I think it s taking on a new dimension It s as good as new  my love for you Just like it used to be and even better As good as new  thank God it s true Darling  we were always meant to stay together Yes the love I have for you feels as good as new Darling  we were always meant to stay together
ABBA;att finnas till;Vad  r det att leva livet r det n jen i en stor stad eller tystnad p  en  Att finnas till det  r f r mig att se sommar ngar blomma lyss till v gor fr n en sj Att se ett hav i solnedg ngen Att se ett segel ligga still Sommarkv ll   att f rnimma alla dofter Det  r d  jag k nner jag finns till Att finnas till   det  r att njuta stunder Att finnas till   det  r s  stort f r mig Finnas till   det  r ett herrens under Att finnas till   det  r att va  med dig Finnas till det  r att sitta med den v n man h ller k rast kanske l ppja ett glas vin Att finnas till d  f r varann medan staden redan sover kanske t nda stearin Att ligga d r och k nna v rmen fr n den man  lskar   s dant vill jag nog tro m nga tycker  r att leva Det  r d  man k nner man finns till Att finnas till   det  r att njuta stunder Att finnas till   det  r s  stort f r mig Finnas till   det  r ett herrens under Att finnas till   det  r att va  med dig 
ABBA;aver so;I have a dream  a song to sing To help me cope with anything If you see the wonder of a fairy tale You can take the future even if you fail I believe in angels Something good in everything I see I believe in angels When I know the time is right for me I ll cross the stream  I have a dream I have a dream  a fantasy To help me through reality And my destination makes it worth the while Pushing through the darkness still another mile I believe in angels Something good in everything I see I believe in angels When I know the time is right for me I ll cross the stream  I have a dream I ll cross the stream  I have a dream I have a dream  a song to sing To help me cope with anything If you see the wonder of a fairy tale You can take the future even if you fail I believe in angels Something good in everything I see I believe in angels When I know the time is right for me I ll cross the stream  I have a dream I ll cross the stream  I have a dream
ABBA;bangaboomerang;Making somebody happy is a question of give and take You can learn how to show it so come on  give yourself a break Every smile and every little touch Don t you know that they mean so much Sweet sweet kisses so tender Always will return to sender Like a bang  a boom a boomerang Dumb be dumb dumb be dumb be dumb dumb Oh bang  a boom a boomerang Love is a tune you hum de hum hum By giving away  I think you ll learn You ll get love in return So bang  a boom a boomerang is love A boom a boomerang is love Love is always around and you can look for it anywhere When you feel that you ve found it my advice is to take good care Never use it as a selfish tool Never ever be such a fool Every feeling you re showing Is a boomerang you re throwing Yes a bang  a boom a boomerang Dumb be dumb dumb be dumb be dumb dumb Oh bang  a boom a boomerang Love is a tune you hum de hum hum By giving away  I think you ll learn You ll get love in return So bang  a boom a boomerang is love And if you re warm and tender I ll kiss you  return to sender Please surrender Bang  a boom a boomerang Dumb be dumb dumb be dumb be dumb dumb Oh bang  a boom a boomerang is love A boom a boomerang is love
