artist;title;lyrics
Imagine Dragons;america;Is this just an illusion That I made inside my head to get me by Twenty years in debt Twenty years in the government Twenty years can never get me by Then I feel you close Feel you close like you wanted me to Feel you close like you wanted me to Believe in you Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on From farmers in the fields To the tallest of the towers that fall and rise 1 7 7 6 The names upon the list For all the ones that gave until they died Don t you hold back I can see in your mind  and your mind will set you free And I feel you close Feel you close like you wanted me to Feel you close like you wanted me to Believe in you Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on Rise to the top of the world  America America  don t you cry Lift me up Give me strength to press on
Imagine Dragons;amsterdam;I m sorry  mother I m sorry  I let you down Well  these days I m fine No these days I tend to lie I ll take the West train  just by the side of Amsterdam Just by my left brain  just by the side of the Tin man I m sorry  brother I m sorry  I let cha down Well  these days you re fine No these days you tend to lie You ll take the West train  just by the side of Amsterdam Just by your left brain  just by the side of the Tin man Your time will come if you wait for it  if you wait for it It s hard  believe me I ve tried But I keep coming up short I m sorry  lover You re sorry  I bring you down Well  these days I try and these days I tend to lie Kinda thought I was a mystery and then I thought I wasn t meant to be You said yourself fantastically   Congratulations you were all alone Your time will come if you wait for it  if you wait for it It s hard  believe me I ve tried Your time will come if you wait for it  if you wait for it It s hard  believe me I ve tried But the rain won t fall for the both of us The sun won t shine on the both of us Believe me when I say  that I wouldn t have it any other way Your time will come if you wait for it  if you wait for it It s hard  believe me I ve tried But I won t wait much longer  cause these walls they re crashing down And I won t wait much longer  cause these walls they re crashing down And I keep coming up short
Imagine Dragons;bad liar;Oh  hush  my dear  it s been a difficult year And terrors don t prey on  Innocent victims Trust me  darling  trust me darling It s been a loveless year I m a man of three fears Integrity  faith and  Crocodile tears Trust me  darling  trust me  darling So look me in the eyes Tell me what you see Perfect paradise Tearing at the seams I wish I could escape I don t wanna fake it Wish I could erase it Make your heart believe But I m a bad liar  bad liar Now you know Now you know That I m a bad liar  bad liar Now you know  you re free to go  go Did all my dreams never mean one thing Does happiness lie in a diamond ring Oh  I ve been askin  for Oh  I ve been askin  for problems  problems  problems I wage my war  on the world inside I take my gun to the enemy s side Oh  I ve been askin  for  trust me  darling Oh  I ve been askin  for  trust me  darling   Problems  problems  problems So look me in the eyes Tell me what you see Perfect paradise Tearing at the seams I wish I could escape I don t wanna fake it Wish I could erase it Make your heart believe But I m a bad liar  bad liar Now you know Now you know That I m a bad liar  bad liar Now you know  you re free to go I can t breathe  I can t be I can t be what you want me to be Believe me  this one time Believe me I m a bad liar  bad liar Now you know Now you know That I m a bad liar  bad liar Now you know  you re free to go Oh Please believe me Please believe me
Imagine Dragons;battle cry;Just one more time before I go I ll let you know That all this time I ve been afraid Wouldn t let it show Nobody can save me now  no Nobody can save me now Stars are only visible in darkness Fear is ever changing and evolving And I  I can poison the skies And I  I feel so alive Nobody can save you now King is crown  it s do or die Nobody can save you now The only sound It s the battle cry It s the battle cry It s the battle cry Nobody can save you now It s do or die Nobody can save you now King is crown  it s do or die Nobody can save you now The only sound It s the battle cry It s the battle cry It s the battle cry Nobody can save you now It s do or die Just one more time before I go I ll let you know That all this time I ve been afraid Wouldn t let it show Nobody can save me now  no Nobody can save me now
Imagine Dragons;believer;First things first I ma say all the words inside my head I m fired up and tired of the way that things have been  oh ooh The way that things have been  oh ooh Second thing second Don t you tell me what you think that I can be I m the one at the sail  I m the master of my sea  oh ooh The master of my sea  oh ooh I was broken from a young age Taking my sulking to the masses Write down my poems for the few That looked at me  took to me  shook to me  feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain You made me a  you made me a believer  believer Pain  pain You break me down  you build me up  believer  believer Pain Oh let the bullets fly  oh let them rain My life  my love  my drive  it came from Pain You made me a  you made me a believer  believer Third things third Send a prayer to the ones up above All the hate that you ve heard has turned your spirit to a dove  oh ooh Your spirit up above  oh ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings  they would drown But they never did  ever lived  ebbing and flowing Inhibited  limited Til it broke up and it rained down It rained down  like Pain You made me a  you made me a believer  believer Pain  pain You break me down  you built me up  believer  believer Pain I let the bullets fly  oh let them rain My life  my love  my drive  it came from Pain You made me a  you made me a believer  believer Last things last By the grace of the fire and the flames You re the face of the future  the blood in my veins  oh ooh The blood in my veins  oh ooh But they never did  ever lived  ebbing and flowing Inhibited  limited Til it broke up and it rained down It rained down  like Pain You made me a  you made me a believer  believer Pain  pain You break me down  you built me up  believer  believer Pain I let the bullets fly  oh let them rain My life  my love  my drive  it came from Pain You made me a  you made me a believer  believer
Imagine Dragons;birds;Two hearts  one valve Pumpin  the blood  we were the flood We were the body and Two lives  one life Stickin  it out  lettin  you down Makin  it right Seasons  they will change Life will make you grow Dreams will make you cry  cry  cry Everything is temporary Everything will slide Love will never die  die  die I know that ooh  birds fly in different directions Ooh  I hope to see you again Sunsets  sunrises Livin  the dream  watchin  the leaves Changin  the seasons Some nights I think of you Relivin  the past  wishin  it d last Wishin  and dreamin Seasons  they will change Life will make you grow Death can make you hard  hard  hard Everything is temporary Everything will slide Love will never die  die  die I know that ooh  birds fly in different directions Ooh  I hope to see you again Ooh  birds fly in every direction Ooh  so fly high  so fly high When the moon is lookin  down Shinin  light upon your ground I m flyin  up to let you see That the shadow cast is me I know that ooh  birds fly in different directions Ooh  I hope to see you again Ooh  birds fly in different directions Ooh  so fly high  so fly high Ooh  so fly high  so fly high Ooh  so fly high  so fly high
Imagine Dragons;bleeding out;I m bleeding out Said if the last thing that I do Is to bring you down I ll bleed out for you So I bear my skin And I count my sins And I close my eyes And I take it in And I m bleeding out I m bleeding out for you  for you When the day has come But I ve lost my way around And the seasons stop and hide beneath the ground When the sky turns gray And everything is screaming I will reach inside Just to find my heart is beating You tell me to hold on Oh you tell me to hold on But innocence is gone And what was right is wrong Cause I m bleeding out Said if the last thing that I do Is to bring you down I ll bleed out for you So I bear my skin And I count my sins And I close my eyes And I take it in And I m bleeding out I m bleeding out for you  for you When the hour is nigh And hopelessness is sinking in And the wolves all cry To feel they re not worth hollering When your eyes are red And emptiness is all you know With the darkness fed I will be your scarecrow You tell me to hold on Oh you tell me to hold on But innocence is gone And what was right is wrong Cause I m bleeding out Said if the last thing that I do Is to bring you down I ll bleed out for you So I bear my skin And I count my sins And I close my eyes And I take it in And I m bleeding out I m bleeding out for you  for you I m bleeding out for you  for you I m bleeding out for you  for you I m bleeding out for you  for you I m bleeding out for you Cause I m bleeding out Said if the last thing that I do Is to bring you down I ll bleed out for you So I bear my skin And I count my sins And I close my eyes And I take it in And I m bleeding out I m bleeding out for you  for you 
Imagine Dragons;boomerang;How many lies do we have to tell To keep from saying that I wish you well How many times said I m moving on How many times that false alarm goes off   Goes off Goes off  goes off I know I ll see you tomorrow Cause I m bad to letting you go  letting you go Letting you go  letting you go Moving on  moving on Moving on  moving on I m ready to go  ready to go Ready to throw  ready to throw You re my boomerang  boomerang You re my boomerang  boomerang How many tears do we have to cry How many sleepless  lonely nights To work it up  is it worth enough Should we go ahead or should we turn around I know I ll see you tomorrow Cause I m bad to letting you go  letting you go Letting you go  letting you go Moving on  moving on Moving on  moving on I m ready to go  ready to go Ready to throw  ready to throw You re my boomerang  boomerang You re my boomerang  boomerang Just because it isn t easy it doesn t means that it s wrong Everything that we ve been working on Working on so long Ooh  ooh  ooh You re my boomerang  boomerang  ooh You re my boomerang  boomerang You re my boomerang  boomerang You re my booma booma rang rang Letting you go  letting you go  booma rang rang Letting you go  letting you go  booma rang rang Moving on  moving on  booma rang rang Moving on  moving on  booma rang rang Ready to go  ready to go  booma rang rang Ready to throw  ready to throw You re my boomerang  boomerang You re my boomerang  boomerang Letting you go  letting you go  booma rang rang Letting you go  letting you go  booma rang rang Moving on  moving on  booma rang rang Moving on  moving on  booma rang rang Ready to go  ready to go  booma rang rang Ready to throw  ready to throw You re my boomerang  boomerang You re my boomerang  boomerang
Imagine Dragons;born to be yours;I know I ve given up A hundred times before But I know a miracle Is not something to ignore You take me for a fool You take me for a fool I never knew anybody  til I knew you I never knew anybody  til I knew you And I know when it rains  oh  it pours And I know I was born to be yours I never knew anybody  til I knew you I never knew anybody  til I knew you And I know when it rains  oh  it pours And I know I was born to be yours Are you the only one Lost in the millions Or are you my grain of sand That s blowing in the wind I never knew anybody  til I knew you I never knew anybody  til I knew you And I know when it rains  oh  it pours And I know I was born to be yours I never knew anybody  til I knew you I never knew anybody  til I knew you And I know when it rains  oh  it pours And I know I was born to be yours I was born to be yours I was born  born  born  born I was born to be yours I was born  born  born I was born to be yours I was born  born  born  born I was born to be yours Oh woah Oh woah  hey Born to be yours I was born  born  born  born I was born to be yours I was born  born  born I was born to be yours I was born  born  born  born I was born to be yours  oh 
Imagine Dragons;bullet in a gun;The Roman king  the Romulus The precipice  born to change The final days  the last appraise Augustus  Nero  taking names I m high  then I m low  low Stop  then I go  go Bipolar  oh  oh Yes  then I m no  no My time will come  I promise that Pull the trigger back  back Bullet in a gun  hey But in the end  my time will come Like a bullet in a gun Blood  sweat and tears to be the one Bullet in a gun  hey  gun  hey  gun  hey Gun  hey  gun  hey  gun  hey  gun  hey Bullet in a gun  bu bu  hey  gun  hey  gun  bu bu  hey Gun  hey  gun  bu bu  hey  gun  hey  gun  bu bu  hey Bullet in a gun To make a name  you pay the price You give your life  no other way The devil s deal  it comes around To wear the crown  rise up from the ground I m high  then I m low  low Stop  then I go  go Bipolar  oh  oh Yes  then I m no  no My time will come  I promise that Pull the trigger back  back Bullet in a gun  hey But in the end  my time will come Like a bullet in a gun Blood  sweat and tears to be the one Bullet in a gun  hey  gun  hey  gun  hey Gun  hey  gun  hey  gun  hey  gun  hey Bullet in a gun  bu bu  hey  gun  hey  gun  bu bu  hey Gun  hey  gun  bu bu  hey  gun  hey  gun  bu bu  hey Bullet in a gun How many voices go unheard How many lessons never learned How many artists fear the light Fear the pain  go insane Lose the mind  lose the self You only care about fame and wealth Sellout  sellout  sellout Bullet in a gun  hey But in the end  my time will come Like a bullet in a gun Blood  sweat and tears to be the one Bullet in a gun  hey  gun  hey  gun  hey Gun  hey  gun  hey  gun  hey  gun  hey Bullet in a gun  bu bu  hey  gun  hey  gun  bu bu  hey Gun  hey  gun  bu bu  hey  gun  hey  gun  bu bu  hey Bullet in a
