artist;title;lyrics
Florence and the Machine;100 years;I believe in you and in our hearts we know the truth and I believe in love and the darker it gets  the more I do Try and fill us with your hate and we will shine a light And the days will become endless and never  and never turn to night And never  and never turn to night Then it s just too much  I cannot get you close enough A hundred arms  a hundred years  you can always find me here And lord  don t let me break this  let me hold you lightly Give me arms to pray with instead of ones that hold too tightly We have no need to fight We raise our voices and let our hearts take flight Get higher than those planes can fly Where the stars do not take sides Then it s just too much  I cannot get you close enough A hundred arms  a hundred years  you can always find me here And lord  don t let me break this  let me hold you lightly Give me arms to pray with instead of ones that hold too tightly And then it s just too much  the streets  they still run with blood A hundred arms  a hundred years  you can always find me here And lord  don t let me break this  let me hold you lightly Give me arms to pray with instead of ones that hold too tightly I let him sleep  and as he does My held breath fills the room with blood Hurts in ways I can t describe My heart bends and breaks so many  many times And is born again with each sunrise And is born again with each sunrise Funerals were held all over the city The youth bleed in the square And women raged as old men fumbled and cried We re sorry  we thought you didn t care And how does it feel now you ve scratched that itch How does it feel Pulled out all your stitches Cuteness is a bitch A hundred arms  a hundred years A hundred arms  a hundred years And then it s just too much  the streets  they still run with blood A hundred arms  a hundred years  you can always find me here And lord  don t let me break this  let me hold you lightly Give me arms to pray with instead of ones that hold too tightly  yeah Oh  oh  oh  hundred  hundred years 
Florence and the Machine;addicted to love;The lights are on  but you re not home Your mind is not your own Your heart sweats  your body shakes Another kiss is what it takes You can t sleep  you can t eat There s no doubt  you re in deep Your throat is tight  you can t breathe Another kiss is all you need Whoa  you like to think that you re immune to the stuff  oh yeah It s closer to the truth to say you can t get enough You know you re gonna have to face it  you re addicted to love You see the signs  but you can t read You re running at a different speed Your heart beats in double time Another kiss and you ll be mine A one track mind  you can t be saved Oblivion is all you crave If there s some left for you You don t mind if you do Whoa  you like to think that you re immune to the stuff  oh yeah It s closer to the truth to say you can t get enough You know you re gonna have to face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Your lights are on  but you re not home Your will is not your own Your heart sweats your teeth grind Another kiss and you ll be mine Whoa  you like to think that you re immune to the stuff  oh yeah It s closer to the truth to say you can t get enough You know you re gonna have to face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love Might as well face it  you re addicted to love
Florence and the Machine;all this and heaven too;And the heart is hard to translate It has a language of it s own It talks in tongues and quiet sighs  And prayers and proclamations in the grand days  Of great men and the smallest of gestures In short shallow gasps But with all my education I can t seem to commend it And the words are all escaping me And coming back all damaged And I would put them back in poetry If I only knew how  I can t seem to understand it And I would give all this and heaven too I would give it all if only for a moment That I could just understand  The meaning of the word you see Cause I ve been scrawling it forever But it never makes sense to me at all And it talks to me in tiptoes And sings to me inside It cries out in the darkest night And breaks in the morning light But with all my education I can t seem to commend it And the words are all escaping And coming back all damaged And I would put them back in poetry If I only knew how I can t seem to understand it And I would give all this and heaven too I would give it all if only for a moment That I could just understand  The meaning of the word you see Cause I ve been scrawling it forever But it never makes sense to me at all And I would give all this and heaven too I would give it all if only for a moment That I could just understand  The meaning of the word you see Cause I ve been scrawling it forever But it never makes sense to me at all No  words are a language It doesn t deserve such treatment And all my stumbling phrases Never amounted to anything worth this feeling All this heaven never could describe  Such a feeling as I m healing  words were never so useful So I was screaming out a language  That I never knew existed before
Florence and the Machine;are you hurting the one you love;Are you hurting the one you love You say you ve found Heaven but you can t find God Are you hurting the one you love Bite your tongue till it tastes like blood Are you hurting the one you love So many glasses on the tabletop Are you hurting the one you love You d like to stay in heaven but the rules are too tough Tough It s just too tough Tough It s just too tough Are you hurting the one you love When they watched the walls  and the ticking clock Are you hurting the one you love And was it something you could not stop Could not stop Stop Could not stop Stop Could not stop Stop Could not stop Stop Could not stop Are you hurting the one you love When you leave them sleeping on the hollow ground Are you hurting the one you love And lost for themselves Are you hurting the one you love And if heaven knows then who will stop Are you hurting the one you love You said you got to heaven  but it wasn t enough 
Florence and the Machine;bedroom hymns;This is as good a place to fall as any We ll build our alter here Make me your Maria I m already on my knees You had Jesus on your breath And I caught him in mine Sweating our confessions The undone and the divine  Cause this is his body This is his blood Such selfish prayers And I can t get enough Spilled milk tears I did this for you Spilling over the idol The black and the blue The sweetest submission Drinking it in The wine  the women  the bedroom hymns Cause this is his body This is his love Such selfish prayers And I can t get enough Cause  I m not here looking for absolution Because I found myself an old solution I m not here looking for absolution Because I found myself an old solution This is his body This is his love Such selfish prayers   I can t get enough This is his body This is his love Such selfish prayers   I can t get enough
Florence and the Machine;between two lungs;Between two lungs it was released The breath that carried me The sigh that blew me forward Cause it was trapped Trapped between two lungs It was trapped between two lungs It was trapped between two lungs And my running feet could fly Each breath screaming We are all too young to die Between two lungs it was released The breath that passed from you to me That flew between us as we slept That slipped from your mouth into mine It crept between two lungs It was released The breath that passed from you to me That flew between us as we slept That slipped from your mouth into mine It crept Cause it was trapped Tapped between two lungs It was trapped between two lungs Now all the days of begging The days of theft No more gasping for a breath The air has filled me head to toe And I can see the ground far below I have this breath And I hold it tight And I keep it in my chest With all my might I pray to God this breath will last As it pushes past my lips As I gasp Between two lungs it was released The breath that passed from you to me
Florence and the Machine;big god;You need a big god Big enough to hold your love You need a big god Big enough to fill you up You keep me up at night To my messages  you do not reply You know I still like you the most The best of the best and the worst of the worst Well  you can never know The places that I go I still like you the most You ll always be my favorite ghost You need a big god Big enough to hold your love You need a big god Big enough to fill you up Sometimes I think it s gettin  better And then it gets much worse Is it just part of the process Well  Jesus Christ  it hurts Though I know I should know better Well  I can make this work Is it just part of the process Well  Jesus Christ  Jesus Christ  it hurts Jesus Christ  Jesus Christ  it hurts You need a big god Big enough to hold your love You need a big god Big enough to fill you up Shower your affection  let it rain on me And pull down the mountain  drag your cities to the sea  yeah Shower your affection  let it rain on me Don t leave me on this white cliff Let it slide down to the  slide down to the sea Slide down to the  slide down to the sea
Florence and the Machine;bird song;Well I didn t tell anyone  but a bird flew by Saw what I d done he set up a nest outside And he sang about what I d become He sang so loud  sang so clear I was afraid all the neighbours would hear So I invited him in  just to reason with him I promised I wouldn t do it again But he sang louder and louder inside the house And no I couldn t get him out So I trapped him under a cardboard box Stood on it to make him stop I picked up the bird and above the din I said That s the last song you ll ever sing Held him down  broke his neck Taught him a lesson he wouldn t forget But in my dreams began to creep That old familiar tweet tweet tweet I opened my mouth to scream and shout I waved my arms and flapped about But I couldn t scream and I couldn t shout Couldn t scream and I couldn t shout I opened my mouth to scream and shout Waved my arms and flapped about But I couldn t scream I couldn t shout The song was coming from my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth From my mouth
Florence and the Machine;blinding;Seems that I have been held  in some dreaming state A tourist in the waking world  never quite awake No kiss  no gentle word could wake me from this slumber Until I realize that it was you who held me under Felt it in my fist  in my feet  in the hollows of my eyelids Shaking through my skull  through my spine and down through my ribs No more dreaming of the dead as if death itself was undone No more calling like a crow for a boy  for a body in the garden No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love with the wrong world And I could hear the thunder and see the lightning crack And all around the world was waking  I never could go back Cause all the walls of dreaming  they were torn right open And finally it seemed that the spell was broken And all my bones began to shake  my eyes flew open And all my bones began to shake  my eyes flew open No more dreaming of the dead as if death itself was undone No more calling like a crow for a boy  for a body in the garden No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love with the wrong world Snow white s stitching up the circuit boards Synapse s slipping through the hidden door Snow white s stitching up your circuit board No more dreaming of the dead as if death itself was undone No more calling like a crow for a boy  for a body in the garden No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love  so in love No more dreaming like a girl so in love with the wrong world Snow white s stitching up the circuit boards Synapse s slipping through the hidden door Snow white s stitching up your circuit board Synapse s slipping through the hidden door
Florence and the Machine;breaking down;All alone it was always there you see And even on my own It was always standing next to me I can see it coming from the edge of the room Creeping in the streetlight holding my hand in the pale gloom Can you see it coming now Ah ah  ah ah I think I m breaking down again Ah ah  ah ah I think I m breaking down All alone even when I was a child I ve always known there was something to be frightened of I can see it coming from the edge of the room Creeping in the streetlight holding my hand in the pale gloom Can you see it coming now Ah ah  ah ah I think I m breaking down again Ah ah  ah ah I think I m breaking down All alone on the edge of sleep My old familiar friend Comes and lies down next to me And I can see it coming from the edge of the room Smiling in the streetlight even with my eyes shut tight I still see it coming now Ah ah  ah ah I think I m breaking down again Ah ah  ah ah I think I m breaking down again Ah ah  ah ah I think I m breaking down again Ah ah  ah ah I think I m breaking down
